# Population (projection) Germany by year, sex and broad age group; Destatis 2015; blog.datawrapper.de/weekly-chart-rustingfountain/
year,total_under30,total_over60,male_under30,female_over60,female_under30,male_over60
1999,33.2403,22.8849,34.8999,19.3581,31.657,26.2495
2000,32.8338,23.4872,34.4124,20.0782,31.3263,26.7427
2001,32.4718,24.0775,34.0188,20.7362,30.9941,27.2693
2002,32.2497,24.3252,33.7466,21.0919,30.8181,27.4176
2003,32.1087,24.6103,33.568,21.4797,30.7119,27.6066
2004,31.95,24.8921,33.3664,21.8509,30.5937,27.8043
2005,31.7911,24.8695,33.1738,21.9034,30.4657,27.7129
2006,31.5636,24.9866,32.9138,22.0981,30.2682,27.7579
2007,31.3483,25.2106,32.6733,22.3925,30.0759,27.9167
2008,31.1283,25.4931,32.4499,22.7359,29.8583,28.1424
2009,30.865,25.8842,32.1786,23.1837,29.6012,28.4822
2010,30.5303,26.3043,31.833,23.6459,29.2759,28.8642
2011,30.4744,26.6754,31.8972,24.0453,29.116,29.1865
2012,30.3123,26.9294,31.7181,24.3378,28.9661,29.4112
2013,30.2073,27.1597,31.6068,24.5892,28.8634,29.6281
2014,30.1018,27.3971,31.4838,24.8359,28.7711,29.8634
2015,29.9966,27.6369,31.3584,25.0832,28.6816,30.1027
2016,29.7893,27.9554,31.1247,25.4325,28.4976,30.3958
2017,29.5506,28.3083,30.8544,25.8025,28.2875,30.736
2018,29.2673,28.6911,30.5486,26.2009,28.0245,31.1064
2019,28.9927,29.1632,30.2453,26.6891,27.7767,31.5652
2020,28.6769,29.6829,29.9053,27.2208,27.4834,32.0749
2021,28.4615,30.2559,29.6727,27.8079,27.284,32.6359
2022,28.2805,30.8472,29.4784,28.4028,27.1155,33.2247
2023,28.1167,31.4914,29.2962,29.0631,26.969,33.8545
2024,27.9893,32.1371,29.1586,29.7189,26.8512,34.4909
2025,27.8828,32.7489,29.036,30.3408,26.7602,35.0933
2026,27.747,33.3558,28.8832,30.9567,26.6406,35.6921
2027,27.5953,33.9092,28.7231,31.5044,26.4967,36.2519
2028,27.4714,34.4277,28.5838,32.0265,26.3873,36.7679
2029,27.3687,34.8718,28.4706,32.465,26.2946,37.218
2030,27.2633,35.2179,28.3577,32.7979,26.1961,37.5779
2031,27.188,35.5157,28.2693,33.0844,26.1334,37.8871
2032,27.1276,35.6887,28.2045,33.2363,26.077,38.0812
2033,27.0723,35.7754,28.1429,33.3049,26.0277,38.1861
2034,27.0139,35.8556,28.0707,33.3723,25.9822,38.28
2035,26.9669,35.9189,28.0243,33.4211,25.9343,38.3579
2036,26.9359,36.0172,27.9925,33.5009,25.904,38.4749
2037,26.8707,36.1411,27.9148,33.6156,25.8508,38.6079
2038,26.8042,36.2716,27.8466,33.7286,25.7858,38.7561
2039,26.7636,36.4162,27.7981,33.8561,25.7527,38.9181
2040,26.6971,36.6218,27.7313,34.0443,25.6861,39.1415
2041,26.6518,36.8284,27.6827,34.2363,25.6442,39.362
2042,26.5857,37.0492,27.6122,34.4533,25.5823,39.5868
2043,26.5184,37.2312,27.5422,34.6334,25.5174,39.7713
2044,26.4526,37.4038,27.4706,34.8067,25.457,39.9441
2045,26.3824,37.5837,27.3921,34.9887,25.3946,40.1225
2046,26.3143,37.8049,27.3187,35.2301,25.331,40.3256
2047,26.2421,38.0444,27.2408,35.4797,25.264,40.5561
2048,26.1836,38.3088,27.1696,35.7703,25.2172,40.7965
2049,26.1175,38.5374,27.0943,36.0195,25.1597,41.0062
2050,26.0602,38.7867,27.0225,36.3046,25.1159,41.2224
2051,26.008,38.9167,26.9552,36.4616,25.0778,41.3278
2052,25.9501,39.0098,26.8844,36.5834,25.0315,41.3956
2053,25.9058,39.0809,26.8279,36.6776,24.9986,41.4456
2054,25.8655,39.1131,26.7726,36.749,24.9716,41.4427
2055,25.8273,39.1226,26.7195,36.7937,24.9472,41.4197
2056,25.7946,39.1606,26.6639,36.8689,24.936,41.4239
2057,25.7766,39.2145,26.6241,36.9617,24.9385,41.4425
2058,25.7649,39.238,26.5999,37.0284,24.938,41.4263
2059,25.7536,39.2387,26.5705,37.0613,24.9435,41.3981
2060,25.7553,39.2539,26.5567,37.1252,24.9593,41.3682
